Name,ChrNr,Resolution,n,WN,WS,binNrStart,binNrEnd,START,END,S
G401_BR1,14,40000,253.0,759,2,749,1008,29920000,40320000,2.7778388585057447
G401_BR1,14,40000,253.0,759,2,751,1010,30000000,40400000,2.782365503401214
G401_BR1,14,40000,253.0,759,2,753,1012,30080000,40480000,2.7730203450410804
G401_BR1,14,40000,253.0,759,2,755,1014,30160000,40560000,2.778351650754935
G401_BR1,14,40000,253.0,759,2,757,1016,30240000,40640000,2.7879125562842377
G401_BR1,14,40000,253.0,759,2,759,1018,30320000,40720000,2.7935635150180813
G401_BR1,14,40000,253.0,759,2,761,1020,30400000,40800000,2.806100515422678
G401_BR1,14,40000,253.0,759,2,763,1022,30480000,40880000,2.801176240220571
G401_BR1,14,40000,253.0,759,2,765,1024,30560000,40960000,2.799549830884773
G401_BR1,14,40000,253.0,759,2,767,1026,30640000,41040000,2.810811073358536
G401_BR1,14,40000,253.0,759,2,769,1028,30720000,41120000,2.8155229575815572
G401_BR1,14,40000,253.0,759,2,771,1031,30800000,41240000,2.8205677600332395
G401_BR1,14,40000,253.0,759,2,773,1033,30880000,41320000,2.817576279064212
G401_BR1,14,40000,253.0,759,2,775,1035,30960000,41400000,2.8164252109549714
G401_BR1,14,40000,253.0,759,2,778,1037,31080000,41480000,2.823111010011876
G401_BR1,14,40000,253.0,759,2,780,1039,31160000,41560000,2.8279513783703463
G401_BR1,14,40000,253.0,759,2,782,1041,31240000,41640000,2.834802467115815
G401_BR1,14,40000,253.0,759,2,784,1043,31320000,41720000,2.847928727670047
G401_BR1,14,40000,253.0,759,2,786,1045,31400000,41800000,2.8570957458108635
G401_BR1,14,40000,253.0,759,2,788,1047,31480000,41880000,2.8678440202947786
G401_BR1,14,40000,253.0,759,2,790,1049,31560000,41960000,2.8762722973862114
G401_BR1,14,40000,253.0,759,2,792,1051,31640000,42040000,2.8876940719915476
G401_BR1,14,40000,253.0,759,2,794,1053,31720000,42120000,2.8895487152115638
G401_BR1,14,40000,253.0,759,2,796,1055,31800000,42200000,2.9011828806892512
G401_BR1,14,40000,253.0,759,2,798,1057,31880000,42280000,2.915243651612254
G401_BR1,14,40000,253.0,759,2,800,1059,31960000,42360000,2.9289090354645477
G401_BR1,14,40000,253.0,759,2,802,1061,32040000,42440000,2.9374670240288703
G401_BR1,14,40000,253.0,759,2,804,1063,32120000,42520000,2.952634810559592
G401_BR1,14,40000,253.0,759,2,806,1065,32200000,42600000,2.965921557909452
